OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,Shallow Main,Condition Score,OVERSIZED,CLEANED,Shape__Length
77753,10080,ACTIVE,KIT 6,5457,34.2m 450mm  DI,TREATED,450,DI,NO,,NONE,1/1/1979,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,N,34.21056297
77754,76299,ACTIVE,KIT 4,6390,.4m 300mm  DI,TREATED,300,DI,NO,,NONE,7/1/1968,PURCHASED,,REGION,N,,7,1,4,N,N,8.5,N,N,0.355117671
77755,10110,ACTIVE,KIT 6,5393,67.9m 450mm  DI,TREATED,450,DI,NO,,NONE,1/1/1979,DONATED,,DUAL CITY AND REGION,N,,7,6,8,N,N,6.1,N,Y,67.85291045
77756,82566,ACTIVE,KIT 6,5393,7m 450mm  DI,TREATED,450,DI,NO,,NONE,1/1/1979,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,4.58,N,Y,7.039328387
77757,82568,ACTIVE,KIT 6,5394,15m 450mm  DI,TREATED,450,DI,NO,,NONE,1/1/1979,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,Y,14.95613076
77758,10090,ACTIVE,KIT 6,5402,38.5m 450mm  DI,TREATED,450,DI,NO,,NONE,1/1/1979,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,Y,38.5268909
77759,82570,ACTIVE,KIT 6,5456,12.5m 450mm  DI,TREATED,450,DI,NO,,NONE,1/1/1979,DONATED,,DUAL CITY AND REGION,N,,6,6,7,N,N,8.5,N,N,12.45196392
77760,10030,ACTIVE,KIT 6,21108,125m 450mm  DI,TREATED,450,DI,NO,,NONE,1/1/1979,DONATED,,DUAL CITY AND REGION,N,,7,6,7,N,N,8.5,N,N,124.9700649
77761,10100,ACTIVE,KIT 6,5396,55.7m 450mm  DI,TREATED,450,DI,NO,,NONE,1/1/1979,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,Y,55.67158117
77762,81620,ACTIVE,KIT 2W,102861,63.9m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1/6/2015,PURCHASED,MTE CONSULTANTS INC.,KITCHENER,N,,0,5,46,N,N,9.35,N,N,63.94858484
77764,60080,ACTIVE,KIT 4,12102,98.1m 300mm  PVC,TREATED,300,PVC,NO,,NONE,9/1/1997,DONATED,,KITCHENER,N,,7,4,17,N,N,9.35,N,Y,98.08328057
77765,61904,ACTIVE,KIT 2W,22070,141.5m 300mm  DI,TREATED,300,DI,NO,,NONE,3/1/1977,PURCHASED,,KITCHENER,N,,7,5,33,N,N,8.5,N,N,141.533052
77766,25690,ACTIVE,KIT 4,10351,42.7m 150mm  PVC,TREATED,150,PVC,NO,,NONE,11/1/1976,DONATED,,KITCHENER,N,,6,4,12,N,N,9.35,N,Y,42.73659422
77767,82572,ACTIVE,KIT 4,10351,12.2m 150mm  PVC,TREATED,150,PVC,NO,,NONE,11/1/1976,DONATED,,KITCHENER,N,,6,4,12,N,N,9.35,N,Y,12.1917415
77768,74030,ACTIVE,KIT 6,600867,69.6m 200mm  PVC,TREATED,200,PVC,NO,,NONE,6/1/2006,DONATED,,KITCHENER,N,,6,6,39,N,N,9.35,N,Y,69.56974431
77769,82574,ACTIVE,KIT 6,600867,8.4m 200mm  PVC,TREATED,200,PVC,NO,,NONE,6/1/2006,DONATED,,KITCHENER,N,,6,6,39,N,N,9.35,N,Y,8.445096252
77770,82576,ACTIVE,KIT 5,601282,8.8m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1/1/2006,DONATED,,KITCHENER,N,,6,6,25,N,N,9.35,N,Y,8.789017602
77771,82578,ACTIVE,KIT 5,601282,8.3m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1/1/2006,DONATED,,KITCHENER,N,,6,6,24,N,N,9.35,N,Y,8.321570246
